Complaint ID,Complaint Text,Category
56,Transaction failed but the amount was deducted from my bank account.,Failed Transaction
57,QR code scanning is not working properly with the latest app version.,Incorrect Bill Payment
58,QR code scanning is not working properly with the latest app version.,Refund Delay
59,The wallet top-up was not reflected in my balance.,Wallet Balance Issue
60,The Paytm payment gateway is not processing my transactions.,Incorrect Bill Payment
61,KYC verification keeps getting rejected without clear reason.,Merchant Payment Failure
62,The Paytm app keeps crashing while making payments.,Merchant Payment Failure
63,Paytm - Transaction details disappeared from my history after payment.,App Login Failure
64,Paytm - Repeated transaction failure while paying electricity bill.,Failed Transaction
65,Unable to complete KYC verification on Paytm app.,Failed Transaction
66,Recharge amount was deducted but the service was not activated.,QR Code Not Scanning
67,Duplicate payment was processed for the same bill.,Refund Delay
68,The app failed to update wallet balance after payment.,Merchant Payment Failure
69,Repeated transaction failure while paying electricity bill.,Money Deducted Without Confirmation
70,Paytm - The recharge was done for the wrong mobile number.,Money Deducted Without Confirmation
71,Payment to merchant failed but wallet balance was deducted.,UPI Transfer Failure
72,The money was deducted but payment confirmation was not received.,Merchant Payment Failure
73,Refund has not been processed even after several days.,Wallet Balance Issue
74,I am not able to log in to my Paytm account.,App Login Failure
75,Paytm - The payment reversal has not been processed yet.,Card Linking Issue
76,The wallet was debited twice for a single payment.,App Login Failure
77,Paytm - The wallet was debited twice for a single payment.,Incorrect Bill Payment
78,Paytm - QR code scanning is not working properly with the latest app version.,Payment Reversal Issue
79,Transaction details disappeared from my history after payment.,App Login Failure
80,The money was deducted but payment confirmation was not received.,Failed Transaction
81,Incorrect bill payment recorded despite entering correct details.,Payment Reversal Issue
82,Paytm - The wallet balance is not updating after adding money.,Money Deducted Without Confirmation
83,Paytm - UPI transfer failed but money was deducted from my account.,Duplicate Transaction
84,The money was deducted but payment confirmation was not received.,Card Linking Issue
85,Customer support is not responding to my complaint.,QR Code Not Scanning
86,Unable to set UPI PIN due to app crash during verification.,Payment Gateway Error
87,UPI transaction shows success but the recipient did not receive the money.,Promo Code Not Applied
88,Paytm - UPI transfer failed but money was deducted from my account.,Account Blocked
89,Refund processed partially instead of full amount.,Wallet Balance Issue
90,Refund processed partially instead of full amount.,UPI Transfer Failure
91,Refund processed partially instead of full amount.,Payment Gateway Error
92,Refund processed partially instead of full amount.,App Login Failure
93,The money was deducted but payment confirmation was not received.,QR Code Not Scanning
94,Transaction details disappeared from my history after payment.,KYC Issues
95,My promo code was not applied during the transaction.,Account Blocked
96,I am not able to log in to my Paytm account.,Customer Support Delay
97,Paytm - QR code scanning is not working properly with the latest app version.,Duplicate Transaction
98,Transaction details disappeared from my history after payment.,Money Deducted Without Confirmation
99,Merchant payment failed but wallet shows balance deduction.,Wallet Balance Issue
100,Bill payment failed but the amount was still deducted.,Merchant Payment Failure
101,The promo code was rejected even though it was valid.,UPI Transfer Failure
102,Customer support is not responding to my complaint.,Payment Reversal Issue
103,The money was deducted but payment confirmation was not received.,Promo Code Not Applied
104,My Paytm account is blocked without any explanation.,Payment Reversal Issue
105,Paytm - Refund has not been processed even after several days.,Card Linking Issue
106,The Paytm payment gateway is not processing my transactions.,Money Deducted Without Confirmation
107,The Paytm payment gateway is not processing my transactions.,Merchant Payment Failure
108,Repeated transaction failure while paying electricity bill.,Money Deducted Without Confirmation
109,Transaction failed but the amount was deducted from my bank account.,Incorrect Recharge
110,Paytm - KYC verification keeps getting rejected without clear reason.,Duplicate Transaction
111,Paytm - The transaction failed but the refund has not yet been processed.,Card Linking Issue
112,UPI transaction shows success but the recipient did not receive the money.,Money Deducted Without Confirmation
113,Duplicate payment was processed for the same bill.,Money Deducted Without Confirmation
114,The wallet was debited twice for a single payment.,Account Blocked
115,Customer support is not responding to my complaint.,Promo Code Not Applied
116,Paytm - UPI transfer failed but money was deducted from my account.,Customer Support Delay
117,QR code scanning is not working properly with the latest app version.,Payment Gateway Error
118,The Paytm payment gateway is not processing my transactions.,App Crash Issue
119,Unable to set UPI PIN due to app crash during verification.,KYC Issues
120,Paytm - Transaction details disappeared from my history after payment.,Payment Gateway Error
121,Transaction failed but the amount was deducted from my bank account.,Slow App Performance
122,Refund has not been processed even after several days.,Customer Support Delay
123,The promo code was rejected even though it was valid.,Duplicate Transaction
124,The payment reversal has not been processed yet.,Refund Delay
125,Paytm - Duplicate payment was processed for the same bill.,QR Code Not Scanning
126,Bill payment failed but the amount was still deducted.,Incorrect Bill Payment
127,QR code scanning is not working properly with the latest app version.,QR Code Not Scanning
128,Repeated transaction failure while paying electricity bill.,Payment Reversal Issue
129,Transaction failed but the amount was deducted from my bank account.,Promo Code Not Applied
130,Transaction failed but the amount was deducted from my bank account.,Payment Reversal Issue
131,Repeated transaction failure while paying electricity bill.,Payment Gateway Error
132,Unable to set UPI PIN due to app crash during verification.,Duplicate Transaction
133,The app failed to update wallet balance after payment.,Merchant Payment Failure
134,Refund has not been processed even after several days.,Payment Reversal Issue
135,Paytm - The money was deducted but payment confirmation was not received.,KYC Issues
136,My promo code was not applied during the transaction.,Money Deducted Without Confirmation
137,I am not able to log in to my Paytm account.,Promo Code Not Applied
138,The promo code was rejected even though it was valid.,Payment Gateway Error
139,My promo code was not applied during the transaction.,App Crash Issue
140,Paytm - Transaction details disappeared from my history after payment.,App Crash Issue
141,UPI transaction shows success but the recipient did not receive the money.,Card Linking Issue
142,KYC verification keeps getting rejected without clear reason.,Failed Transaction
143,The card linking process is stuck and does not complete.,Money Deducted Without Confirmation
144,KYC verification keeps getting rejected without clear reason.,QR Code Not Scanning
145,Paytm - The recharge was done for the wrong mobile number.,Refund Delay
146,KYC verification keeps getting rejected without clear reason.,App Login Failure
147,UPI transaction shows success but the recipient did not receive the money.,App Crash Issue
148,The Paytm payment gateway is not processing my transactions.,Payment Gateway Error
149,Incorrect bill payment recorded despite entering correct details.,Refund Delay
150,The app failed to update wallet balance after payment.,UPI Transfer Failure
151,Unable to link my debit card to the Paytm app.,KYC Issues
152,Customer support is not responding to my complaint.,Merchant Payment Failure
153,I am not able to log in to my Paytm account.,Customer Support Delay
154,The app failed to update wallet balance after payment.,Customer Support Delay
155,The wallet top-up was not reflected in my balance.,QR Code Not Scanning
156,The app is running very slow while loading the home page.,Account Blocked
157,Paytm - Bill payment failed but the amount was still deducted.,Money Deducted Without Confirmation
158,Merchant payment failed but wallet shows balance deduction.,Money Deducted Without Confirmation
159,Paytm - The wallet balance is not updating after adding money.,Merchant Payment Failure
160,My Paytm account is blocked without any explanation.,Promo Code Not Applied
161,Bill payment failed but the amount was still deducted.,Failed Transaction
162,The payment reversal has not been processed yet.,App Login Failure
163,Customer support is not responding to my complaint.,Account Blocked
164,Transaction details disappeared from my history after payment.,QR Code Not Scanning
165,My Paytm account is blocked without any explanation.,Merchant Payment Failure
166,Paytm - The wallet was debited twice for a single payment.,QR Code Not Scanning
167,Incorrect bill payment recorded despite entering correct details.,UPI Transfer Failure
168,Paytm - The transaction failed but the refund has not yet been processed.,App Crash Issue
169,The QR code is not scanning properly at the merchant location.,Wallet Balance Issue
170,Paytm - KYC verification keeps getting rejected without clear reason.,Failed Transaction
171,The app failed to update wallet balance after payment.,QR Code Not Scanning
172,Paytm - Duplicate payment was processed for the same bill.,Promo Code Not Applied
173,Duplicate payment was processed for the same bill.,Payment Reversal Issue
174,I am not able to log in to my Paytm account.,Duplicate Transaction
175,My Paytm account is blocked without any explanation.,Account Blocked
176,Paytm - Refund has not been processed even after several days.,Money Deducted Without Confirmation
177,The wallet was debited twice for a single payment.,Account Blocked
178,The wallet balance is not updating after adding money.,Payment Reversal Issue
179,Customer support closed the complaint without solving the issue.,Duplicate Transaction
180,The recharge was done for the wrong mobile number.,Wallet Balance Issue
181,The QR code is not scanning properly at the merchant location.,QR Code Not Scanning
182,The recharge was done for the wrong mobile number.,Payment Gateway Error
183,Recharge amount was deducted but the service was not activated.,Money Deducted Without Confirmation
184,Bill payment failed but the amount was still deducted.,QR Code Not Scanning
185,Refund processed partially instead of full amount.,Failed Transaction
186,The payment reversal has not been processed yet.,Card Linking Issue
187,The Paytm app keeps crashing while making payments.,Wallet Balance Issue
188,KYC verification keeps getting rejected without clear reason.,Account Blocked
189,The payment reversal has not been processed yet.,App Crash Issue
190,Paytm - Transaction details disappeared from my history after payment.,Payment Reversal Issue
191,Paytm - The app is running very slow while loading the home page.,UPI Transfer Failure
192,Customer support closed the complaint without solving the issue.,Account Blocked
193,Payment to merchant failed but wallet balance was deducted.,QR Code Not Scanning
194,Duplicate payment was processed for the same bill.,Promo Code Not Applied
195,The money was deducted but payment confirmation was not received.,Money Deducted Without Confirmation
196,The QR code is not scanning properly at the merchant location.,Duplicate Transaction
197,QR code scanning is not working properly with the latest app version.,App Crash Issue
198,The wallet was debited twice for a single payment.,Promo Code Not Applied
199,The card linking process is stuck and does not complete.,Merchant Payment Failure
200,Transaction details disappeared from my history after payment.,Failed Transaction
201,Refund processed partially instead of full amount.,KYC Issues
202,KYC verification keeps getting rejected without clear reason.,Slow App Performance
203,Transaction details disappeared from my history after payment.,Money Deducted Without Confirmation
204,The wallet top-up was not reflected in my balance.,Customer Support Delay
205,Bill payment failed but the amount was still deducted.,Duplicate Transaction
206,UPI transfer failed but money was deducted from my account.,Wallet Balance Issue
207,Paytm - The QR code is not scanning properly at the merchant location.,App Login Failure
208,Paytm - The money was deducted but payment confirmation was not received.,Payment Gateway Error
209,The app takes too long to load transaction history.,KYC Issues
210,Paytm - Bill payment failed but the amount was still deducted.,Account Blocked
211,The wallet balance is not updating after adding money.,Failed Transaction
212,The payment reversal has not been processed yet.,Promo Code Not Applied
213,The app takes too long to load transaction history.,Account Blocked
214,The app failed to update wallet balance after payment.,QR Code Not Scanning
215,Transaction failed but the amount was deducted from my bank account.,Account Blocked
216,Paytm - Merchant payment failed but wallet shows balance deduction.,Promo Code Not Applied
217,Paytm - The transaction failed but the refund has not yet been processed.,Customer Support Delay
218,Customer support is not responding to my complaint.,Duplicate Transaction
219,Paytm - The card linking process is stuck and does not complete.,App Login Failure
220,The Paytm payment gateway is not processing my transactions.,Slow App Performance
221,Paytm - Customer support is not responding to my complaint.,Wallet Balance Issue
222,The wallet top-up was not reflected in my balance.,Card Linking Issue
223,The payment reversal has not been processed yet.,UPI Transfer Failure
224,Unable to set UPI PIN due to app crash during verification.,Payment Reversal Issue
225,The Paytm app keeps crashing while making payments.,Incorrect Bill Payment
226,Payment to merchant failed but wallet balance was deducted.,QR Code Not Scanning
227,The wallet was debited twice for a single payment.,Slow App Performance
228,The app failed to update wallet balance after payment.,QR Code Not Scanning
229,The card linking process is stuck and does not complete.,App Crash Issue
230,Customer support closed the complaint without solving the issue.,Payment Gateway Error
231,The app failed to update wallet balance after payment.,Refund Delay
232,Payment to merchant failed but wallet balance was deducted.,Money Deducted Without Confirmation
233,Paytm - The transaction failed but the refund has not yet been processed.,Account Blocked
234,KYC verification keeps getting rejected without clear reason.,Failed Transaction
235,Bill payment failed but the amount was still deducted.,Incorrect Bill Payment
236,Duplicate payment was processed for the same bill.,Incorrect Bill Payment
237,Repeated transaction failure while paying electricity bill.,QR Code Not Scanning
238,Refund has not been processed even after several days.,Money Deducted Without Confirmation
239,Paytm - Bill payment failed but the amount was still deducted.,Money Deducted Without Confirmation
240,Paytm - Customer support closed the complaint without solving the issue.,App Crash Issue
241,The payment reversal has not been processed yet.,Payment Gateway Error
242,Refund has not been processed even after several days.,Wallet Balance Issue
243,Merchant payment failed but wallet shows balance deduction.,QR Code Not Scanning
244,The wallet was debited twice for a single payment.,Customer Support Delay
245,Recharge amount was deducted but the service was not activated.,Duplicate Transaction
246,The payment reversal has not been processed yet.,Incorrect Bill Payment
247,Paytm - The money was deducted but payment confirmation was not received.,Customer Support Delay
248,UPI transfer failed but money was deducted from my account.,Duplicate Transaction
249,The card linking process is stuck and does not complete.,Customer Support Delay
250,Payment to merchant failed but wallet balance was deducted.,Failed Transaction
251,Refund processed partially instead of full amount.,Refund Delay
252,Incorrect bill payment recorded despite entering correct details.,App Crash Issue
253,The wallet was debited twice for a single payment.,KYC Issues
254,The wallet balance is not updating after adding money.,Merchant Payment Failure
255,The wallet balance is not updating after adding money.,Payment Gateway Error
256,Paytm - The wallet balance is not updating after adding money.,Slow App Performance
257,The QR code is not scanning properly at the merchant location.,UPI Transfer Failure
258,The app is frequently logging me out during payment.,Failed Transaction
259,I am not able to log in to my Paytm account.,Customer Support Delay
260,The Paytm payment gateway is not processing my transactions.,Merchant Payment Failure
261,The recharge was done for the wrong mobile number.,KYC Issues
262,Customer support is not responding to my complaint.,Customer Support Delay
263,Payment to merchant failed but wallet balance was deducted.,Account Blocked
264,The payment reversal has not been processed yet.,Incorrect Recharge
265,The card linking process is stuck and does not complete.,Incorrect Bill Payment
266,The money was deducted but payment confirmation was not received.,Promo Code Not Applied
267,Duplicate payment was processed for the same bill.,Customer Support Delay
268,Unable to complete KYC verification on Paytm app.,Failed Transaction
269,The Paytm payment gateway is not processing my transactions.,App Login Failure
270,The promo code was rejected even though it was valid.,Payment Gateway Error
271,The app is frequently logging me out during payment.,Payment Reversal Issue
272,My promo code was not applied during the transaction.,QR Code Not Scanning
273,Transaction details disappeared from my history after payment.,Refund Delay
274,Customer support closed the complaint without solving the issue.,Merchant Payment Failure
275,Paytm - QR code scanning is not working properly with the latest app version.,Customer Support Delay
276,The wallet balance is not updating after adding money.,App Crash Issue
277,Transaction details disappeared from my history after payment.,QR Code Not Scanning
278,Customer support closed the complaint without solving the issue.,Slow App Performance
279,Paytm - The transaction failed but the refund has not yet been processed.,Failed Transaction
280,Incorrect bill payment recorded despite entering correct details.,Wallet Balance Issue
281,The QR code is not scanning properly at the merchant location.,UPI Transfer Failure
282,Paytm - The QR code is not scanning properly at the merchant location.,Card Linking Issue
283,The app failed to update wallet balance after payment.,Account Blocked
284,My Paytm account is blocked without any explanation.,Duplicate Transaction
285,Paytm - The transaction failed but the refund has not yet been processed.,Customer Support Delay
286,The card linking process is stuck and does not complete.,Incorrect Bill Payment
287,Duplicate payment was processed for the same bill.,QR Code Not Scanning
288,Paytm - The wallet was debited twice for a single payment.,QR Code Not Scanning
289,Unable to set UPI PIN due to app crash during verification.,Card Linking Issue
290,My promo code was not applied during the transaction.,Incorrect Recharge
291,The Paytm payment gateway is not processing my transactions.,Card Linking Issue
292,The Paytm payment gateway is not processing my transactions.,Merchant Payment Failure
293,Payment to merchant failed but wallet balance was deducted.,Customer Support Delay
294,Recharge amount was deducted but the service was not activated.,Slow App Performance
295,The app failed to update wallet balance after payment.,Money Deducted Without Confirmation
296,Unable to link my debit card to the Paytm app.,Money Deducted Without Confirmation
297,Paytm - Payment to merchant failed but wallet balance was deducted.,Slow App Performance
298,The wallet top-up was not reflected in my balance.,Incorrect Recharge
299,Paytm - The transaction failed but the refund has not yet been processed.,Incorrect Recharge
300,The wallet balance is not updating after adding money.,Incorrect Recharge
301,Payment to merchant failed but wallet balance was deducted.,Customer Support Delay
302,Paytm - Transaction details disappeared from my history after payment.,Wallet Balance Issue
303,Paytm - The wallet balance is not updating after adding money.,Merchant Payment Failure
304,The money was deducted but payment confirmation was not received.,Failed Transaction
305,My Paytm account is blocked without any explanation.,Incorrect Bill Payment
306,The app is running very slow while loading the home page.,Incorrect Bill Payment
307,The QR code is not scanning properly at the merchant location.,Wallet Balance Issue
308,The promo code was rejected even though it was valid.,App Login Failure
309,Recharge amount was deducted but the service was not activated.,QR Code Not Scanning
310,QR code scanning is not working properly with the latest app version.,UPI Transfer Failure
311,The app is frequently logging me out during payment.,Slow App Performance
312,The wallet balance is not updating after adding money.,Incorrect Bill Payment
313,Paytm - UPI transfer failed but money was deducted from my account.,Merchant Payment Failure
314,The QR code is not scanning properly at the merchant location.,Wallet Balance Issue
315,The payment reversal has not been processed yet.,App Login Failure
316,The payment reversal has not been processed yet.,Merchant Payment Failure
317,My Paytm account is blocked without any explanation.,Slow App Performance
318,Payment to merchant failed but wallet balance was deducted.,Slow App Performance
319,Paytm - Repeated transaction failure while paying electricity bill.,Wallet Balance Issue
320,Paytm - Recharge amount was deducted but the service was not activated.,Promo Code Not Applied
321,The Paytm app keeps crashing while making payments.,App Crash Issue
322,I am not able to log in to my Paytm account.,App Crash Issue
323,The promo code was rejected even though it was valid.,Money Deducted Without Confirmation
324,The payment reversal has not been processed yet.,Promo Code Not Applied
325,Paytm - Customer support closed the complaint without solving the issue.,Payment Gateway Error
326,Duplicate payment was processed for the same bill.,Incorrect Bill Payment
327,My Paytm account is blocked without any explanation.,App Login Failure
328,Paytm - The wallet was debited twice for a single payment.,Incorrect Recharge
329,Paytm - Transaction failed but the amount was deducted from my bank account.,Money Deducted Without Confirmation
330,The Paytm payment gateway is not processing my transactions.,UPI Transfer Failure
331,QR code scanning is not working properly with the latest app version.,Slow App Performance
332,Paytm - The transaction failed but the refund has not yet been processed.,Account Blocked
333,Incorrect bill payment recorded despite entering correct details.,App Login Failure
334,Payment to merchant failed but wallet balance was deducted.,QR Code Not Scanning
335,The payment reversal has not been processed yet.,UPI Transfer Failure
336,Paytm - UPI transaction shows success but the recipient did not receive the money.,Slow App Performance
337,The Paytm payment gateway is not processing my transactions.,Merchant Payment Failure
338,Paytm - The wallet balance is not updating after adding money.,Card Linking Issue
339,Unable to link my debit card to the Paytm app.,QR Code Not Scanning
340,The Paytm payment gateway is not processing my transactions.,Slow App Performance
341,The app failed to update wallet balance after payment.,Slow App Performance
342,The recharge was done for the wrong mobile number.,Merchant Payment Failure
343,The payment reversal has not been processed yet.,Slow App Performance
344,The wallet was debited twice for a single payment.,Customer Support Delay
345,UPI transaction shows success but the recipient did not receive the money.,Promo Code Not Applied
346,The recharge was done for the wrong mobile number.,App Crash Issue
347,My promo code was not applied during the transaction.,QR Code Not Scanning
348,Unable to link my debit card to the Paytm app.,QR Code Not Scanning
349,The app failed to update wallet balance after payment.,Slow App Performance
350,Unable to complete KYC verification on Paytm app.,Customer Support Delay
351,Unable to link my debit card to the Paytm app.,QR Code Not Scanning
352,Refund has not been processed even after several days.,Customer Support Delay
353,Customer support is not responding to my complaint.,Payment Reversal Issue
354,The QR code is not scanning properly at the merchant location.,Payment Gateway Error
355,Incorrect bill payment recorded despite entering correct details.,Payment Reversal Issue
356,The wallet balance is not updating after adding money.,Incorrect Bill Payment
357,Unable to complete KYC verification on Paytm app.,Merchant Payment Failure
358,Paytm - The payment reversal has not been processed yet.,App Login Failure
359,The QR code is not scanning properly at the merchant location.,Payment Reversal Issue
360,The app takes too long to load transaction history.,Merchant Payment Failure
361,Paytm - Merchant payment failed but wallet shows balance deduction.,Failed Transaction
362,Paytm - The wallet top-up was not reflected in my balance.,Incorrect Recharge
363,The wallet balance is not updating after adding money.,Incorrect Bill Payment
364,Customer support is not responding to my complaint.,Promo Code Not Applied
365,Duplicate payment was processed for the same bill.,Customer Support Delay
366,The card linking process is stuck and does not complete.,UPI Transfer Failure
367,The Paytm app keeps crashing while making payments.,Payment Gateway Error
368,Unable to set UPI PIN due to app crash during verification.,Refund Delay
369,Repeated transaction failure while paying electricity bill.,Promo Code Not Applied
370,Paytm - Unable to set UPI PIN due to app crash during verification.,Wallet Balance Issue
371,Unable to link my debit card to the Paytm app.,Money Deducted Without Confirmation
372,UPI transfer failed but money was deducted from my account.,Slow App Performance
373,Customer support is not responding to my complaint.,Incorrect Bill Payment
374,The promo code was rejected even though it was valid.,Payment Reversal Issue
375,The app failed to update wallet balance after payment.,KYC Issues
376,Customer support is not responding to my complaint.,Payment Gateway Error
377,Unable to link my debit card to the Paytm app.,Duplicate Transaction
378,Bill payment failed but the amount was still deducted.,App Login Failure
379,The promo code was rejected even though it was valid.,App Crash Issue
380,Paytm - The app is running very slow while loading the home page.,Incorrect Bill Payment
381,My promo code was not applied during the transaction.,Card Linking Issue
382,Bill payment failed but the amount was still deducted.,KYC Issues
383,Transaction failed but the amount was deducted from my bank account.,Incorrect Recharge
384,Bill payment failed but the amount was still deducted.,Duplicate Transaction
385,Customer support closed the complaint without solving the issue.,Payment Gateway Error
386,The app failed to update wallet balance after payment.,Account Blocked
387,The app is running very slow while loading the home page.,UPI Transfer Failure
388,Paytm - Transaction failed but the amount was deducted from my bank account.,App Login Failure
389,The app takes too long to load transaction history.,Wallet Balance Issue
390,Paytm - Transaction details disappeared from my history after payment.,Promo Code Not Applied
391,Paytm - The QR code is not scanning properly at the merchant location.,Payment Reversal Issue
392,Customer support closed the complaint without solving the issue.,Promo Code Not Applied
393,The recharge was done for the wrong mobile number.,Incorrect Bill Payment
394,Unable to complete KYC verification on Paytm app.,Account Blocked
395,Paytm - The transaction failed but the refund has not yet been processed.,Account Blocked
396,Incorrect bill payment recorded despite entering correct details.,Account Blocked
397,Unable to complete KYC verification on Paytm app.,Payment Gateway Error
398,The promo code was rejected even though it was valid.,UPI Transfer Failure
399,Incorrect bill payment recorded despite entering correct details.,UPI Transfer Failure
400,Transaction failed but the amount was deducted from my bank account.,Refund Delay
401,The Paytm payment gateway is not processing my transactions.,Payment Gateway Error
402,Paytm - Transaction failed but the amount was deducted from my bank account.,Payment Gateway Error
403,Refund processed partially instead of full amount.,App Login Failure
404,The money was deducted but payment confirmation was not received.,Incorrect Bill Payment
405,The recharge was done for the wrong mobile number.,Promo Code Not Applied
406,The Paytm app keeps crashing while making payments.,Slow App Performance
407,KYC verification keeps getting rejected without clear reason.,KYC Issues
408,Refund processed partially instead of full amount.,Duplicate Transaction
409,Paytm - The app is frequently logging me out during payment.,Incorrect Bill Payment
410,My promo code was not applied during the transaction.,App Crash Issue
411,The Paytm payment gateway is not processing my transactions.,App Login Failure
412,The promo code was rejected even though it was valid.,Account Blocked
413,Paytm - Customer support is not responding to my complaint.,Merchant Payment Failure
414,Duplicate payment was processed for the same bill.,Wallet Balance Issue
415,The recharge was done for the wrong mobile number.,Refund Delay
416,My promo code was not applied during the transaction.,App Crash Issue
417,I am not able to log in to my Paytm account.,Incorrect Bill Payment
418,QR code scanning is not working properly with the latest app version.,Card Linking Issue
419,Paytm - Refund has not been processed even after several days.,Slow App Performance
420,The card linking process is stuck and does not complete.,App Login Failure
421,My Paytm account is blocked without any explanation.,KYC Issues
422,Paytm - Unable to set UPI PIN due to app crash during verification.,Duplicate Transaction
423,Duplicate payment was processed for the same bill.,Duplicate Transaction
424,Unable to link my debit card to the Paytm app.,Merchant Payment Failure
425,The Paytm payment gateway is not processing my transactions.,Refund Delay
426,The Paytm payment gateway is not processing my transactions.,QR Code Not Scanning
427,Paytm - The wallet was debited twice for a single payment.,Wallet Balance Issue
428,UPI transaction shows success but the recipient did not receive the money.,Merchant Payment Failure
429,UPI transfer failed but money was deducted from my account.,Wallet Balance Issue
430,The app failed to update wallet balance after payment.,Card Linking Issue
431,Unable to set UPI PIN due to app crash during verification.,Promo Code Not Applied
432,Paytm - The app is frequently logging me out during payment.,App Crash Issue
433,The payment reversal has not been processed yet.,Duplicate Transaction
434,Unable to link my debit card to the Paytm app.,Card Linking Issue
435,UPI transaction shows success but the recipient did not receive the money.,Payment Reversal Issue
436,The Paytm app keeps crashing while making payments.,Account Blocked
437,Paytm - Unable to set UPI PIN due to app crash during verification.,UPI Transfer Failure
438,Customer support is not responding to my complaint.,Payment Gateway Error
439,UPI transaction shows success but the recipient did not receive the money.,Payment Gateway Error
440,Incorrect bill payment recorded despite entering correct details.,Failed Transaction
441,The recharge was done for the wrong mobile number.,Incorrect Recharge
442,Paytm - UPI transaction shows success but the recipient did not receive the money.,Merchant Payment Failure
443,Duplicate payment was processed for the same bill.,Failed Transaction
444,QR code scanning is not working properly with the latest app version.,Payment Gateway Error
445,Paytm - The transaction failed but the refund has not yet been processed.,Wallet Balance Issue
446,Unable to set UPI PIN due to app crash during verification.,Promo Code Not Applied
447,The money was deducted but payment confirmation was not received.,KYC Issues
448,Paytm - Incorrect bill payment recorded despite entering correct details.,Customer Support Delay
449,Paytm - Refund processed partially instead of full amount.,Promo Code Not Applied
450,The app is frequently logging me out during payment.,Refund Delay
451,QR code scanning is not working properly with the latest app version.,Wallet Balance Issue
452,Paytm - The promo code was rejected even though it was valid.,App Login Failure
453,Bill payment failed but the amount was still deducted.,Money Deducted Without Confirmation
454,The card linking process is stuck and does not complete.,Wallet Balance Issue
455,The app failed to update wallet balance after payment.,App Crash Issue
456,The Paytm payment gateway is not processing my transactions.,App Login Failure
